user_id,id,title,genre_id,user_rating
1,1079091,It Ends with Us,"[10749, 18]",8
1,619730,Don't Worry Darling,"[53, 9648, 18]",7
1,603206,Dream Horse,"[35, 18]",7
1,1027535,Slasher,"[27, 35]",6
1,429617,Spider-Man: Far From Home,"[28, 12, 878]",9
1,718930,Bullet Train,"[28, 35, 53]",6
1,456740,Hellboy,"[14, 27, 28, 12]",5
1,299537,Captain Marvel,"[28, 12, 878]",7
1,573560,The Car: Road to Revenge,"[28, 27, 53, 878]",4
1,508138,Burn,"[53, 80, 28]",6
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
